answer,latitude,longitude
PRE27/ARE97/SUB9702,34.6497176,135.5059947
PRE35/ARE296/SUB29601,"34.6203710","131.6005720"
PRE28/ARE106/SUB10601,34.5888489,135.0173781
PRE11/ARE51/SUB5103,35.8443123,139.6474923
PRE26/ARE116/SUB11504,35.0300916,135.7695722
PRE23/ARE65/SUB6502,35.1570112,136.9150144
PRE14/ARE36/SUB3602,35.3730718,139.5770013
PRE14/ARE30/SUB3001,35.2432877,139.1261653
PRE26/ARE485/SUB48504,35.4458805,"135.3379580"
PRE22/ARE76/SUB7601,35.1017302,139.0770156
PRE27/ARE94/SUB9502,34.6683566,135.5032254
PRE19/ARE259/SUB37205,35.4138617,138.8603418
PRE15/ARE496/SUB15702,37.9418465,139.3130964
PRE47/ARE290/SUB29001,"26.1055620","127.6914330"
PRE27/ARE85/SUB8404,34.8283394,135.5155007
PRE13/ARE26/SUB2601,35.7345848,139.6568244
PRE47/ARE247/SUB24702,26.6775441,127.9044104
PRE13/ARE4/SUB401,35.6983083,139.5061661
PRE22/ARE323/SUB7602,"34.9786000","138.9508260"
PRE14/ARE29/SUB2901,35.3970829,139.3139533
PRE46/ARE143/SUB35402,31.7038652,130.2837671
PRE28/ARE100/SUB10004,"34.7204000",135.2608016
PRE20/ARE298/SUB56006,"35.9911730",138.1835598
PRE36/ARE148/SUB14804,34.2257928,134.5363191
PRE13/ARE10/SUB1005,35.6689355,139.8108496
PRE17/ARE226/SUB22601,37.0444988,136.9672099
PRE27/ARE627/SUB9703,34.6121723,135.5128716
PRE13/ARE666/SUB2603,35.7229085,139.5669875
PRE27/ARE616/SUB61601,34.7216824,"135.5261210"
PRE13/ARE3/SUB304,"35.7257910",139.2100056
PRE17/ARE226/SUB22602,37.3998233,136.9405357
PRE40/ARE137/SUB13702,"33.6429790",130.5054957
PRE14/ARE36/SUB3601,35.4108174,139.5936765
PRE27/ARE96/SUB9602,"34.6643570","135.5197220"
PRE28/ARE98/SUB9904,34.6958888,135.1867445
PRE28/ARE107/SUB10403,34.9177915,135.1828678
PRE04/ARE264/SUB53202,38.1329421,140.9131337
PRE06/ARE162/SUB34706,38.5699578,140.5307614
PRE14/ARE33/SUB57804,35.4755817,139.5485951
PRE22/ARE79/SUB33303,34.7003513,137.6986484
PRE11/ARE487/SUB48702,36.0844171,"139.1122880"
PRE26/ARE115/SUB11501,35.0370388,135.7300181
PRE47/ARE144/SUB14402,26.2159843,127.6816842
PRE27/ARE94/SUB9404,34.6760964,135.4838418
PRE23/ARE65/SUB6503,35.1617879,136.9056179
PRE13/ARE9/SUB906,35.7264133,139.7895545
PRE29/ARE246/SUB24602,34.2694141,135.8821859
PRE46/ARE287/SUB25401,"28.3916350","129.5379060"
PRE01/ARE261/SUB26102,"43.2170700",141.5317513
PRE26/ARE485/SUB48502,35.5309337,135.1207527
PRE13/ARE10/SUB1003,"35.6710260",139.7975565
PRE28/ARE105/SUB63510,34.8397501,134.9364065
PRE22/ARE336/SUB7902,34.7217251,137.8579125
PRE21/ARE302/SUB38104,"35.3505860","137.2485080"
PRE27/ARE611/SUB61103,"34.4936690","135.5480770"
PRE29/ARE281/SUB38502,"34.5976300",135.7640523
PRE27/ARE627/SUB62706,"34.7062490",135.4615379
PRE11/ARE50/SUB49006,35.9448807,139.4158842
PRE46/ARE356/SUB35602,31.9363633,130.7804175
PRE46/ARE357/SUB14302,31.4205865,"130.3215630"
PRE43/ARE253/SUB51402,32.5220355,130.4213302
PRE20/ARE82/SUB55707,"36.4824310","138.1431550"
PRE23/ARE70/SUB60205,34.8666792,136.9775991
PRE13/ARE13/SUB1304,35.6097369,"139.7115490"
PRE13/ARE24/SUB2403,"35.7799980",139.7204829
PRE20/ARE82/SUB55703,36.6766519,138.2857663
PRE11/ARE48/SUB48605,35.9206542,139.3422675
PRE04/ARE535/SUB27203,38.9055942,141.5720056
PRE27/ARE90/SUB9001,34.6972124,135.5351038
PRE12/ARE466/SUB46602,35.1673512,139.8211929
PRE10/ARE60/SUB6001,36.3763068,139.1197854
PRE23/ARE65/SUB6504,"35.1202100",136.9068961
PRE44/ARE138/SUB27902,33.0769429,131.3809878
PRE37/ARE146/SUB14601,34.3367805,134.0585181
PRE10/ARE294/SUB29404,36.4961488,138.9159256
PRE20/ARE227/SUB22702,"36.3562650",138.6338165
PRE23/ARE70/SUB7001,35.0065781,136.9927428
PRE14/ARE32/SUB3203,"35.5102130","139.5674250"
PRE04/ARE158/SUB15801,38.2586132,140.8847944
PRE34/ARE258/SUB25802,34.3115025,132.3035112
PRE28/ARE106/SUB63702,34.3407327,134.9024991
PRE19/ARE83/SUB8301,"35.6654730","138.5683640"
PRE22/ARE79/SUB33304,34.7239082,137.7366692
PRE21/ARE380/SUB38002,35.3080545,136.5455378
PRE20/ARE298/SUB56004,35.7433774,137.8890383
PRE23/ARE62/SUB6202,"35.1756210",136.9004241
PRE14/ARE583/SUB58303,35.3454354,139.6384125
PRE22/ARE335/SUB7903,"34.7718410","138.0167070"
PRE29/ARE386/SUB38603,34.5149538,135.7476169
PRE18/ARE308/SUB30802,35.9021853,136.1704851
PRE06/ARE299/SUB29901,38.9201531,139.8425762
PRE29/ARE386/SUB38607,34.4404911,135.7238868
PRE23/ARE63/SUB6304,35.1645513,136.9078192
PRE37/ARE251/SUB25101,34.3049879,133.9148378
PRE36/ARE148/SUB14803,34.0162183,134.5743699
PRE13/ARE18/SUB1802,35.6834493,139.7406147
PRE22/ARE319/SUB31903,34.9119859,139.1194328
PRE46/ARE355/SUB35503,31.9114866,130.4559171
PRE23/ARE73/SUB60503,35.1835482,"136.8367090"
PRE27/ARE93/SUB9301,34.6684056,135.4371022
PRE27/ARE86/SUB61006,34.6200776,135.5983626
PRE45/ARE297/SUB29703,32.5891292,"131.6706320"
PRE23/ARE68/SUB6804,35.0901659,136.9763136
PRE40/ARE134/SUB65208,33.6193886,131.1407253
PRE21/ARE81/SUB8101,35.4340271,136.7443967
PRE11/ARE54/SUB49405,35.8099491,139.8424462
PRE12/ARE453/SUB45302,35.7989407,140.0586155
PRE27/ARE89/SUB8905,34.7073838,135.5065644
PRE22/ARE78/SUB32902,34.9571003,138.3816741
PRE15/ARE497/SUB49701,37.7781095,139.2280757
PRE34/ARE258/SUB25801,34.2986187,132.3217214
PRE40/ARE128/SUB12807,"33.5769790","130.4359720"
PRE14/ARE572/SUB57204,35.5145257,139.4518045
PRE26/ARE481/SUB48101,34.8558507,"135.7732160"
PRE22/ARE77/SUB7702,35.0827293,138.8584154
PRE47/ARE144/SUB14403,"26.2173340",127.6964881
PRE17/ARE226/SUB54902,36.7194888,136.7028211
PRE09/ARE59/SUB5901,36.5585626,139.8975715
PRE22/ARE79/SUB33302,34.6934101,137.7008425
PRE23/ARE61/SUB6102,35.1674639,136.8728596
PRE01/ARE164/SUB43903,43.0767027,141.2845487
PRE33/ARE424/SUB42401,34.6762709,133.7601579
PRE24/ARE234/SUB23403,34.4835681,136.8428781
PRE40/ARE136/SUB65403,33.2501021,130.5429053
PRE12/ARE467/SUB46702,"35.0594750","140.0695910"
PRE05/ARE160/SUB39603,39.9016636,139.9391305
PRE40/ARE125/SUB12503,"33.5784440","130.3866240"
PRE40/ARE136/SUB65406,33.3450316,130.7317168
PRE27/ARE86/SUB61008,34.6991415,135.6075726
PRE26/ARE479/SUB47902,"34.9239130",135.6934944
PRE03/ARE161/SUB36004,39.5485381,141.1676431
PRE13/ARE665/SUB2001,35.6181978,139.6529593
PRE26/ARE485/SUB48503,35.6090121,135.2293708
PRE27/ARE92/SUB9203,34.6894748,135.5099923
PRE14/ARE34/SUB31304,35.3076791,"139.4825360"
PRE14/ARE39/SUB3902,35.4456368,"139.6314340"
PRE26/ARE115/SUB11502,35.0439131,135.7615254
PRE13/ARE312/SUB31203,"35.6624490","139.7797080"
PRE26/ARE118/SUB11801,"35.0206430","135.7696250"
PRE12/ARE43/SUB4301,35.6233331,139.8870756
PRE18/ARE553/SUB55302,35.9908264,136.4864389
PRE32/ARE151/SUB15102,35.3644476,132.7607531
PRE44/ARE230/SUB23002,33.5335324,131.3287579
PRE27/ARE85/SUB8502,34.8365145,135.5894109
PRE01/ARE300/SUB30001,43.0471558,144.4593366
PRE28/ARE105/SUB10704,"34.7683210","134.4462690"
PRE45/ARE297/SUB52403,32.7208068,131.3377479
PRE13/ARE25/SUB2501,35.6737837,139.4697286
PRE07/ARE235/SUB35302,37.6510628,139.8734268
PRE05/ARE274/SUB39702,39.1534052,140.4891388
PRE19/ARE83/SUB37105,35.6789145,138.5125033
PRE12/ARE463/SUB4602,"35.3844200",139.9182829
PRE14/ARE38/SUB58702,35.4645517,139.6246488
PRE18/ARE154/SUB55102,36.2520111,136.1471556
PRE18/ARE308/SUB30801,"35.9434360",136.1942763
PRE23/ARE72/SUB60406,"35.1214310","137.0689370"
PRE40/ARE134/SUB13401,33.7294949,130.9822007
PRE38/ARE145/SUB39003,33.8045741,132.8928918
PRE40/ARE128/SUB12805,"33.5429350",130.4600126
PRE34/ARE285/SUB28501,34.4871521,133.3639736
PRE43/ARE304/SUB51502,"33.1201540",131.0702661
PRE18/ARE555/SUB26801,"35.6461950","136.0736970"
PRE26/ARE482/SUB48202,34.7602641,135.7907687
PRE40/ARE134/SUB65207,33.8467428,130.6719405
PRE40/ARE124/SUB12404,33.5767885,130.4114155
PRE13/ARE18/SUB1801,35.6727101,139.7396361
PRE40/ARE130/SUB13004,"33.5472560","130.3366440"
PRE40/ARE136/SUB13604,33.1639817,130.4985462
PRE24/ARE250/SUB25001,"35.0032690","136.6616120"
PRE24/ARE408/SUB40802,35.0644706,136.6836336
PRE11/ARE51/SUB5101,35.8591998,139.6510937
PRE23/ARE67/SUB6702,35.1317826,136.9219225
PRE40/ARE129/SUB12903,33.5564472,"130.4003150"
PRE24/ARE250/SUB40906,"35.0864300","136.5825300"
PRE23/ARE71/SUB60308,35.3655927,136.9206601
PRE33/ARE240/SUB24001,"34.7331030","134.2654240"
PRE07/ARE163/SUB35104,37.2486774,140.3388261
PRE12/ARE44/SUB4401,35.7833884,"140.3167260"
PRE11/ARE487/SUB4803,35.9872514,139.0833813
PRE13/ARE13/SUB705,"35.6187900","139.7063930"
PRE31/ARE389/SUB38902,35.4664791,133.8941799
PRE11/ARE50/SUB5005,35.8749658,139.5129566
PRE26/ARE116/SUB47704,35.0344863,135.7841222
PRE22/ARE79/SUB7901,"34.7044690",137.7306377
PRE01/ARE261/SUB44506,"42.3369740","142.3631180"
PRE14/ARE572/SUB57201,35.4555129,139.3968723
PRE43/ARE142/SUB14201,32.7986168,130.7058765
PRE31/ARE288/SUB39001,"35.3786120",133.5106201
PRE12/ARE471/SUB4702,35.5690076,140.3770596
PRE37/ARE146/SUB43302,"34.2728060","134.1246150"
PRE19/ARE83/SUB37102,"35.6417230","138.5436660"
PRE21/ARE306/SUB38302,36.2574595,136.9071526
PRE15/ARE497/SUB49703,37.6791672,"139.0178660"
PRE40/ARE128/SUB12806,33.6022761,130.4267629
PRE40/ARE130/SUB13002,33.5948157,130.3513453
PRE43/ARE280/SUB28002,"33.0144250","130.6899410"
PRE24/ARE408/SUB23402,33.8626216,136.0695816
PRE13/ARE664/SUB66401,35.6254889,139.5749554
PRE22/ARE337/SUB33703,34.7943647,137.6880982
PRE47/ARE267/SUB26702,26.3340304,127.7475017
PRE34/ARE152/SUB56603,34.3930413,132.4747101
PRE28/ARE99/SUB9902,"34.6729090","135.1772340"
PRE11/ARE49/SUB48807,36.1388213,139.5450622
PRE04/ARE158/SUB53107,38.3261878,"140.8652640"
PRE27/ARE627/SUB62702,34.6654322,135.4782709
PRE40/ARE136/SUB13602,33.3617916,130.8124848
PRE34/ARE152/SUB15201,34.3892458,"132.4608010"
PRE27/ARE88/SUB8803,34.7319725,135.4737039
PRE14/ARE40/SUB3402,35.2848911,139.5690237
PRE27/ARE616/SUB9704,34.6620602,135.5359797
PRE39/ARE256/SUB25602,"33.5446860",134.2966063
PRE20/ARE227/SUB22701,36.3965367,138.2623933
PRE47/ARE144/SUB14404,26.1789533,127.6563854
PRE22/ARE332/SUB7804,34.8357164,138.2088849
PRE40/ARE132/SUB13202,33.6253171,130.4273182
PRE14/ARE37/SUB58505,35.5947376,139.5056216
PRE09/ARE539/SUB53904,"36.6645350","140.1697350"
PRE22/ARE319/SUB7604,"34.9717200","139.0949650"
PRE02/ARE243/SUB24301,"40.5239690",141.5289548
PRE04/ARE536/SUB53602,38.6205958,141.3264144
PRE34/ARE284/SUB28402,34.7634763,132.9554614
PRE11/ARE51/SUB5105,35.8623686,139.6719565
PRE14/ARE28/SUB2803,35.5715166,139.3710799
PRE16/ARE307/SUB40202,"36.7792260",137.0841396
PRE21/ARE380/SUB38003,35.1556737,136.6335024
PRE27/ARE616/SUB61604,34.7329325,135.5038637
PRE11/ARE51/SUB5104,"35.8422810","139.6316840"
PRE13/ARE17/SUB1705,35.6983446,139.8237395
PRE22/ARE331/SUB7803,34.8603578,138.3221738
PRE01/ARE164/SUB43901,"43.0684590","141.2952150"
PRE14/ARE572/SUB57206,"35.4397100",139.3617139
PRE22/ARE76/SUB31803,35.0462523,139.0803165
PRE11/ARE53/SUB5302,35.9008922,139.6311566
PRE12/ARE470/SUB47001,"35.5948240","140.3995390"
PRE47/ARE247/SUB52703,26.6971216,128.0203039
PRE33/ARE239/SUB23901,34.5993489,133.7690595
PRE43/ARE280/SUB51205,32.8602402,130.8017416
PRE27/ARE91/SUB9103,34.6890504,135.4947767
PRE22/ARE332/SUB33203,34.6818702,"138.1953590"
PRE46/ARE356/SUB30902,31.8091879,130.8122132
PRE29/ARE281/SUB38505,34.5817317,"135.7718680"
PRE03/ARE365/SUB29302,"39.1369850","141.1423970"
PRE27/ARE84/SUB8402,34.8087999,135.4949293
PRE47/ARE247/SUB24701,26.6055615,128.0009435
PRE27/ARE93/SUB62204,34.6701752,135.4583076
PRE37/ARE436/SUB43601,34.1263692,"133.7254450"
PRE21/ARE380/SUB8102,35.3758647,136.5876509
PRE01/ARE164/SUB43902,43.1258709,141.2545935
PRE10/ARE545/SUB54502,"36.2580800","138.8920060"
PRE19/ARE374/SUB37401,35.6890286,138.6750908
PRE13/ARE666/SUB66602,35.7773987,139.4938638
PRE22/ARE332/SUB33202,"34.8250720",138.1352498
PRE11/ARE487/SUB48703,"36.0476130","139.2251310"
PRE14/ARE583/SUB3603,35.3882507,"139.6180920"
PRE01/ARE286/SUB28601,45.2991648,141.0455247
PRE14/ARE34/SUB58009,35.2941614,139.2464482
PRE23/ARE70/SUB7004,"34.7831200","137.0963080"
PRE27/ARE91/SUB9106,34.6788053,135.4890578
PRE46/ARE355/SUB35504,32.0088137,130.1940355
PRE01/ARE164/SUB44001,"43.0828570","141.3457620"
PRE14/ARE30/SUB57403,35.1446513,139.1097152
PRE04/ARE158/SUB53106,38.2691132,140.7903391
PRE12/ARE456/SUB4304,"35.7240030",140.0099429
PRE20/ARE227/SUB55804,36.3221813,"138.4172630"
PRE23/ARE66/SUB6603,35.1832179,137.0214213
PRE10/ARE545/SUB54503,"36.3393030",138.7390259
PRE14/ARE36/SUB3302,35.4014347,139.5318362
PRE46/ARE309/SUB30901,31.3813817,130.8276522
PRE22/ARE330/SUB33005,"35.0864360","138.5478600"
PRE44/ARE138/SUB51602,33.1201034,"131.8034750"
PRE34/ARE152/SUB56604,34.3933045,132.4007424
PRE01/ARE164/SUB16401,43.0573276,141.3115122
PRE12/ARE471/SUB4703,"35.5214680","140.4433620"
PRE45/ARE270/SUB27002,"31.7562330","131.1008320"
PRE43/ARE253/SUB25301,"32.4550910","130.1921990"
PRE14/ARE32/SUB57601,"35.5329900","139.4950550"
PRE09/ARE269/SUB26901,36.7651083,"139.6162080"
PRE12/ARE460/SUB46002,35.7425798,"140.3179840"
PRE42/ARE139/SUB50604,32.8245995,129.8481469
PRE12/ARE41/SUB4103,35.8749051,140.0407676
PRE41/ARE504/SUB50403,32.9907424,130.2013387
PRE23/ARE601/SUB60102,34.8556723,137.1660701
PRE40/ARE127/SUB12801,33.5991161,130.4028708
PRE19/ARE375/SUB37502,35.7389375,138.4436254
PRE14/ARE40/SUB4002,35.2098093,139.6849984
PRE22/ARE324/SUB32404,34.7531634,"138.7753170"
PRE13/ARE2/SUB1603,35.6658286,139.7610223
PRE01/ARE245/SUB44403,"42.3171680","140.9723750"
PRE47/ARE267/SUB52804,26.2889959,"127.7530340"
PRE09/ARE539/SUB53901,36.7618582,140.1296872
PRE09/ARE238/SUB23804,36.4085918,139.7811181
PRE43/ARE241/SUB24102,"32.2107720","130.4027260"
PRE28/ARE104/SUB63306,34.8184101,135.4022706
PRE12/ARE466/SUB46601,35.2464402,140.0502996
PRE26/ARE114/SUB11403,34.9793799,135.6934029
PRE27/ARE94/SUB9501,34.6680651,"135.5009770"
PRE08/ARE56/SUB5602,36.3983203,140.5269735
PRE09/ARE238/SUB23802,36.2957262,139.8079609
PRE03/ARE293/SUB36403,39.3293881,141.5299463
PRE47/ARE275/SUB27501,24.3444633,124.1524706
PRE23/ARE72/SUB7202,"35.1784260","137.0306060"
PRE28/ARE103/SUB10301,34.8342192,135.2374378
PRE01/ARE164/SUB44004,43.1306118,141.3550082
PRE26/ARE116/SUB47702,35.0472096,135.7871341
PRE44/ARE279/SUB27901,33.2630751,131.3557077
PRE47/ARE290/SUB53003,26.1334865,127.7846402
PRE12/ARE46/SUB46202,"35.4781100","140.0427050"
PRE33/ARE424/SUB23903,34.6730249,133.5303175
PRE23/ARE66/SUB6604,35.1687151,136.9731449
PRE20/ARE273/SUB27301,36.2325206,137.9718749
PRE40/ARE126/SUB12602,33.5925384,"130.4140550"
PRE19/ARE375/SUB8302,35.9148114,138.4434495
PRE40/ARE134/SUB65209,33.9455332,130.9610694
PRE01/ARE271/SUB28602,44.4843058,142.3454794
PRE27/ARE85/SUB8501,34.8035774,"135.5563580"
PRE13/ARE22/SUB2203,35.6560686,139.6486968
PRE15/ARE301/SUB30101,"37.4250650","138.8489140"
PRE13/ARE8/SUB804,"35.6585260",139.6941514
PRE14/ARE37/SUB58502,35.5186222,139.7028351
PRE06/ARE162/SUB34705,38.4311455,"140.3113590"
PRE08/ARE57/SUB5704,"35.9661990","140.1708690"
PRE37/ARE251/SUB43503,"34.2509720","133.7794890"
PRE01/ARE286/SUB44902,44.3558816,141.6933978
PRE28/ARE105/SUB63507,35.0138556,134.3696782
PRE13/ARE9/SUB902,35.7143745,139.7920311
PRE27/ARE94/SUB62304,"34.6705510",135.5073765
PRE29/ARE386/SUB38604,34.5977975,135.7027571
PRE13/ARE664/SUB2204,35.6409584,139.5993918
PRE32/ARE277/SUB27701,34.8852301,132.2116836
PRE19/ARE83/SUB37103,35.6543646,138.5807758
PRE06/ARE350/SUB35003,"38.7652340","140.0554950"
PRE01/ARE261/SUB24502,43.0597258,141.9775119
PRE28/ARE639/SUB10702,35.3859973,134.7239219
PRE13/ARE3/SUB303,35.7894797,139.2702733
PRE05/ARE160/SUB16001,39.7222012,140.1017924
PRE16/ARE310/SUB40403,"36.7745030",137.3446529
PRE24/ARE80/SUB8001,"34.6662970","136.5175070"
PRE14/ARE35/SUB58203,35.5306233,139.6347739
PRE14/ARE579/SUB57901,35.4065113,"139.4984880"
PRE05/ARE282/SUB28202,39.2196197,139.9004132
PRE40/ARE134/SUB13402,33.8852537,130.8843777
PRE01/ARE244/SUB24402,41.8048616,140.1242028
PRE01/ARE446/SUB26101,43.1985816,140.9938112
PRE35/ARE296/SUB43203,34.1726355,131.2093373
PRE27/ARE93/SUB62203,34.6541257,135.4324764
PRE38/ARE232/SUB23201,"34.0643710","132.9986600"
PRE13/ARE12/SUB1206,35.7046302,139.6342362
PRE34/ARE285/SUB28503,"34.3956170","133.0651750"
PRE12/ARE47/SUB4701,35.7349466,140.8416382
PRE27/ARE90/SUB61903,34.6766551,135.5324549
PRE22/ARE336/SUB33606,34.7940598,137.9077721
PRE27/ARE94/SUB62310,34.6739529,135.4996471
PRE44/ARE237/SUB23701,32.9612393,131.8993929
PRE13/ARE663/SUB1205,35.7064717,139.6181367
PRE21/ARE380/SUB38006,"35.4876580","136.5724490"
PRE44/ARE230/SUB23001,33.6049692,131.1930379
PRE03/ARE365/SUB29303,38.9273157,141.1371946
PRE23/ARE69/SUB6901,35.2312352,136.8975559
PRE23/ARE69/SUB6904,35.2446153,137.0190359
PRE22/ARE77/SUB32503,35.1598725,138.8560724
PRE28/ARE100/SUB10002,34.7197861,135.2743506
PRE23/ARE74/SUB60604,34.9020473,136.9244647
PRE23/ARE75/SUB7503,"34.8373960",137.3269179
PRE38/ARE145/SUB39005,33.6580136,132.9002405
PRE22/ARE328/SUB32805,"35.1618280","138.6186190"
PRE35/ARE263/SUB26301,34.1064092,"132.0948320"
PRE12/ARE464/SUB46402,35.3910804,140.3847731
PRE40/ARE137/SUB65305,33.7637849,130.4859713
PRE45/ARE141/SUB14101,"31.9158780","131.4236600"
PRE26/ARE484/SUB48403,35.1784294,135.4218432
PRE03/ARE293/SUB36402,39.3858336,141.1171131
PRE01/ARE245/SUB44404,42.3730097,141.0610209
PRE01/ARE446/SUB44602,42.8464635,140.6456177
PRE01/ARE446/SUB44606,43.2957536,140.6044399
PRE02/ARE344/SUB34404,40.8077087,140.3871527
PRE02/ARE159/SUB15903,41.1634873,140.5062973
